id,serviceScore, shiftStartTime, shiftEndTime,shiftDuration,currentLat,currentLon,headingLat,headingLon,available,emptyCarMode,currentServePaxId,timeUntilAvailable,online, number of served pax,totIncome,avg income per pax
230,102,2511,10825,8314,768,960,-1,-1,true,2,-1,-100,true,0,0,NaN
1701,84,2519,11139,8620,810,1339,-1,-1,true,2,-1,-100,true,0,0,NaN
9024,75,2315,10430,8115,1585,397,-1,-1,true,2,-1,0,true,1,71,71.0
7640,50,1751,9114,7363,1689,728,-1,-1,true,2,-1,0,true,1,129,129.0
8142,68,1080,8789,7709,1935,975,-1,-1,true,2,-1,0,true,2,245,122.5
7001,79,2533,11434,8901,365,1312,-1,-1,true,2,-1,-100,true,0,0,NaN
4961,76,2537,10488,7951,1049,275,-1,-1,true,2,-1,-100,true,0,0,NaN
4000,38,1740,10277,8537,11,120,-1,-1,true,2,-1,0,true,2,36,18.0
6901,46,2546,11490,8944,1799,365,-1,-1,true,2,-1,-100,true,0,0,NaN
6709,112,2558,9919,7361,738,140,-1,-1,true,2,-1,-100,true,0,0,NaN
466,128,2560,10953,8393,796,655,-1,-1,true,2,-1,-100,true,0,0,NaN
7479,95,2564,10993,8429,1686,1261,-1,-1,true,2,-1,-100,true,0,0,NaN
1641,88,2123,9379,7256,319,1151,-1,-1,true,2,-1,0,true,1,13,13.0
10765,82,2573,9933,7360,1835,805,-1,-1,true,2,-1,-100,true,0,0,NaN
7073,59,1771,9188,7417,1820,729,-1,-1,true,2,-1,0,true,2,305,152.5
3792,98,2585,9970,7385,780,1393,-1,-1,true,2,-1,-100,true,0,0,NaN
9442,73,2592,10318,7726,1880,1574,-1,-1,true,2,-1,-100,true,0,0,NaN
7966,26,2593,11559,8966,206,1376,-1,-1,true,2,-1,-100,true,0,0,NaN
599,40,1746,9577,7831,2162,1538,-1,-1,true,2,-1,0,true,1,76,76.0
3429,57,2602,9817,7215,1113,1911,-1,-1,true,2,-1,-100,true,0,0,NaN
9156,98,2605,10274,7669,1241,749,-1,-1,true,2,-1,-100,true,0,0,NaN
6632,209,2606,10454,7848,1302,531,-1,-1,true,2,-1,-100,true,0,0,NaN
2966,141,2606,11560,8954,658,1722,-1,-1,true,2,-1,-100,true,0,0,NaN
